Time,RAW_HEX,EN,FAULT,ENOUT,WDO,SRC
20:22:30.315,0x0000001D,1,0,1,1,UART
20:22:30.530,0x0000001D,1,0,1,1,UART
20:22:30.746,0x0000001D,1,0,1,1,UART
20:22:30.962,0x0000001D,1,0,1,1,UART
20:22:31.177,0x0000001D,1,0,1,1,UART
20:22:31.395,0x0000001D,1,0,1,1,UART
20:22:31.611,0x00000017,1,1,1,0,UART
20:22:31.821,0x0000001D,1,0,1,1,UART
20:22:32.042,0x0000001D,1,0,1,1,UART
20:22:32.258,0x0000001D,1,0,1,1,UART
20:22:32.474,0x0000001D,1,0,1,1,UART
20:22:32.692,0x0000001D,1,0,1,1,UART
20:22:32.909,0x0000001D,1,0,1,1,UART
20:22:33.123,0x0000001D,1,0,1,1,UART
20:22:33.337,0x0000001D,1,0,1,1,UART
20:22:33.550,0x0000001D,1,0,1,1,UART
