Time,RAW_HEX,EN,FAULT,ENOUT,WDO,SRC
19:17:49.837,0x0000000D,1,0,1,1,Nút S1
19:17:50.053,0x0000000D,1,0,1,1,Nút S1
19:17:50.272,0x0000000D,1,0,1,1,Nút S1
19:17:50.482,0x0000000D,1,0,1,1,Nút S1
19:17:50.697,0x0000000D,1,0,1,1,Nút S1
19:17:50.920,0x0000000D,1,0,1,1,Nút S1
19:17:51.135,0x0000000D,1,0,1,1,Nút S1
19:17:51.351,0x00000007,1,1,1,0,Nút S1
19:17:51.565,0x0000000D,1,0,1,1,Nút S1
19:17:51.784,0x0000000D,1,0,1,1,Nút S1
19:17:52.000,0x0000000D,1,0,1,1,Nút S1
19:17:52.211,0x0000000D,1,0,1,1,Nút S1
19:17:52.426,0x0000000D,1,0,1,1,Nút S1
19:17:52.648,0x0000000D,1,0,1,1,Nút S1
19:17:52.864,0x0000000D,1,0,1,1,Nút S1
19:17:53.079,0x0000000D,1,0,1,1,Nút S1
19:17:53.294,0x0000000D,1,0,1,1,Nút S1
19:17:53.509,0x0000000D,1,0,1,1,Nút S1
19:17:53.725,0x0000000D,1,0,1,1,Nút S1
19:17:53.945,0x0000000D,1,0,1,1,Nút S1
19:17:54.161,0x0000000D,1,0,1,1,Nút S1
19:17:54.375,0x0000000D,1,0,1,1,Nút S1
19:17:54.593,0x0000000D,1,0,1,1,Nút S1
19:17:54.808,0x0000000D,1,0,1,1,Nút S1
19:17:55.023,0x0000000D,1,0,1,1,Nút S1
19:17:55.239,0x0000000D,1,0,1,1,Nút S1
19:17:55.458,0x0000000D,1,0,1,1,Nút S1
19:17:55.674,0x0000000D,1,0,1,1,Nút S1
19:17:55.890,0x0000000D,1,0,1,1,Nút S1
19:17:56.101,0x0000000D,1,0,1,1,Nút S1
19:17:56.315,0x0000000D,1,0,1,1,Nút S1
19:17:56.538,0x0000000D,1,0,1,1,Nút S1
19:17:56.753,0x0000000D,1,0,1,1,Nút S1
19:17:56.970,0x0000000D,1,0,1,1,Nút S1
19:17:57.183,0x0000000D,1,0,1,1,Nút S1
19:17:57.400,0x0000000D,1,0,1,1,Nút S1
