Time,RAW_HEX,EN,FAULT,ENOUT,WDO,SRC
20:46:11.951,0x0000000D,1,0,1,1,Nút S1
20:46:12.162,0x0000000D,1,0,1,1,Nút S1
20:46:12.383,0x00000007,1,1,1,0,Nút S1
20:46:12.599,0x0000000D,1,0,1,1,Nút S1
20:46:12.803,0x0000000D,1,0,1,1,Nút S1
20:46:13.019,0x0000000D,1,0,1,1,Nút S1
20:46:13.247,0x0000000D,1,0,1,1,Nút S1
20:46:13.462,0x0000000D,1,0,1,1,Nút S1
20:46:13.678,0x0000000D,1,0,1,1,Nút S1
20:46:13.895,0x0000000D,1,0,1,1,Nút S1
20:46:14.109,0x0000000D,1,0,1,1,Nút S1
20:46:14.311,0x0000000D,1,0,1,1,Nút S1
20:46:14.541,0x0000000D,1,0,1,1,Nút S1
20:46:14.758,0x0000000D,1,0,1,1,Nút S1
20:46:14.974,0x0000000D,1,0,1,1,Nút S1
20:46:15.191,0x0000000D,1,0,1,1,Nút S1
20:46:15.407,0x0000000D,1,0,1,1,Nút S1
20:46:15.624,0x0000000D,1,0,1,1,Nút S1
20:46:15.831,0x0000000D,1,0,1,1,Nút S1
20:46:16.057,0x00000007,1,1,1,0,Nút S1
20:46:16.267,0x0000000D,1,0,1,1,Nút S1
20:46:16.488,0x0000000D,1,0,1,1,Nút S1
20:46:16.706,0x0000000D,1,0,1,1,Nút S1
20:46:16.922,0x0000000D,1,0,1,1,Nút S1
20:46:17.136,0x0000000D,1,0,1,1,Nút S1
20:46:17.346,0x0000000D,1,0,1,1,Nút S1
20:46:17.570,0x0000000D,1,0,1,1,Nút S1
20:46:17.786,0x00000007,1,1,1,0,Nút S1
20:46:17.996,0x0000000D,1,0,1,1,Nút S1
20:46:18.208,0x0000000D,1,0,1,1,Nút S1
20:46:18.435,0x0000000D,1,0,1,1,Nút S1
20:46:18.650,0x0000000D,1,0,1,1,Nút S1
20:46:18.866,0x0000000D,1,0,1,1,Nút S1
20:46:19.078,0x0000000D,1,0,1,1,Nút S1
20:46:19.299,0x0000000D,1,0,1,1,Nút S1
20:46:19.515,0x0000000D,1,0,1,1,Nút S1
20:46:19.718,0x0000000D,1,0,1,1,Nút S1
20:46:19.948,0x0000000D,1,0,1,1,Nút S1
20:46:20.164,0x0000000D,1,0,1,1,Nút S1
20:46:20.380,0x0000000D,1,0,1,1,Nút S1
20:46:20.592,0x0000000D,1,0,1,1,Nút S1
20:46:20.809,0x0000000D,1,0,1,1,Nút S1
20:46:21.028,0x0000000D,1,0,1,1,Nút S1
20:46:21.243,0x0000000D,1,0,1,1,Nút S1
20:46:21.458,0x00000007,1,1,1,0,Nút S1
20:46:21.676,0x0000000D,1,0,1,1,Nút S1
20:46:21.885,0x0000000D,1,0,1,1,Nút S1
20:46:22.103,0x0000000D,1,0,1,1,Nút S1
20:46:22.313,0x0000000D,1,0,1,1,Nút S1
20:46:22.537,0x0000000D,1,0,1,1,Nút S1
20:46:22.754,0x0000000D,1,0,1,1,Nút S1
20:46:22.968,0x0000000D,1,0,1,1,Nút S1
20:46:23.186,0x0000000D,1,0,1,1,Nút S1
