Time,RAW_HEX,EN,FAULT,ENOUT,WDO,SRC
20:22:54.974,0x00000017,1,1,1,0,UART
20:22:55.188,0x0000001D,1,0,1,1,UART
20:22:55.404,0x0000001D,1,0,1,1,UART
20:22:55.626,0x0000001D,1,0,1,1,UART
20:22:55.841,0x0000001D,1,0,1,1,UART
20:22:56.059,0x0000001D,1,0,1,1,UART
20:22:56.275,0x0000001D,1,0,1,1,UART
20:22:56.486,0x0000001D,1,0,1,1,UART
20:22:56.702,0x0000001D,1,0,1,1,UART
20:22:56.921,0x00000017,1,1,1,0,UART
20:22:57.140,0x0000001D,1,0,1,1,UART
20:22:57.357,0x0000001D,1,0,1,1,UART
20:22:57.570,0x0000001D,1,0,1,1,UART
20:22:57.790,0x0000001D,1,0,1,1,UART
20:22:58.004,0x0000001D,1,0,1,1,UART
20:22:58.216,0x0000001D,1,0,1,1,UART
20:22:58.431,0x0000001D,1,0,1,1,UART
20:22:58.652,0x00000017,1,1,1,0,UART
20:22:58.869,0x0000001D,1,0,1,1,UART
20:22:59.087,0x0000001D,1,0,1,1,UART
20:22:59.302,0x0000001D,1,0,1,1,UART
20:22:59.517,0x0000001D,1,0,1,1,UART
20:22:59.730,0x0000001D,1,0,1,1,UART
20:22:59.949,0x0000001D,1,0,1,1,UART
20:23:00.161,0x0000001D,1,0,1,1,UART
20:23:00.377,0x00000017,1,1,1,0,UART
20:23:00.598,0x0000001D,1,0,1,1,UART
20:23:00.813,0x0000001D,1,0,1,1,UART
20:23:01.029,0x0000001D,1,0,1,1,UART
20:23:01.245,0x0000001D,1,0,1,1,UART
20:23:01.459,0x0000001D,1,0,1,1,UART
20:23:01.677,0x0000001D,1,0,1,1,UART
20:23:01.892,0x0000001D,1,0,1,1,UART
20:23:02.105,0x0000001D,1,0,1,1,UART
20:23:02.324,0x00000017,1,1,1,0,UART
20:23:02.535,0x0000001D,1,0,1,1,UART
20:23:02.751,0x0000001D,1,0,1,1,UART
20:23:02.966,0x0000001D,1,0,1,1,UART
20:23:03.181,0x0000001D,1,0,1,1,UART
20:23:03.397,0x0000001D,1,0,1,1,UART
20:23:03.619,0x0000001D,1,0,1,1,UART
20:23:03.834,0x0000001D,1,0,1,1,UART
20:23:04.050,0x00000017,1,1,1,0,UART
20:23:04.265,0x0000001D,1,0,1,1,UART
20:23:04.484,0x0000001D,1,0,1,1,UART
20:23:04.695,0x0000001D,1,0,1,1,UART
20:23:04.916,0x0000001D,1,0,1,1,UART
20:23:05.127,0x0000001D,1,0,1,1,UART
20:23:05.348,0x0000001D,1,0,1,1,UART
20:23:05.565,0x0000001D,1,0,1,1,UART
20:23:05.778,0x00000017,1,1,1,0,UART
20:23:05.996,0x0000001D,1,0,1,1,UART
20:23:06.209,0x0000001D,1,0,1,1,UART
20:23:06.427,0x0000001D,1,0,1,1,UART
20:23:06.639,0x0000001D,1,0,1,1,UART
20:23:06.855,0x0000001D,1,0,1,1,UART
20:23:07.070,0x0000001D,1,0,1,1,UART
20:23:07.286,0x0000001D,1,0,1,1,UART
20:23:07.507,0x0000001D,1,0,1,1,UART
20:23:07.723,0x00000017,1,1,1,0,UART
20:23:07.939,0x0000001D,1,0,1,1,UART
20:23:08.154,0x0000001D,1,0,1,1,UART
20:23:08.369,0x0000001D,1,0,1,1,UART
20:23:08.584,0x0000001D,1,0,1,1,UART
20:23:08.799,0x0000001D,1,0,1,1,UART
20:23:09.021,0x0000001D,1,0,1,1,UART
20:23:09.237,0x0000001D,1,0,1,1,UART
20:23:09.452,0x00000017,1,1,1,0,UART
20:23:09.667,0x0000001D,1,0,1,1,UART
20:23:09.882,0x0000001D,1,0,1,1,UART
20:23:10.097,0x0000001D,1,0,1,1,UART
20:23:10.316,0x0000001D,1,0,1,1,UART
20:23:10.529,0x0000001D,1,0,1,1,UART
20:23:10.743,0x0000001D,1,0,1,1,UART
20:23:10.958,0x0000001D,1,0,1,1,UART
20:23:11.179,0x00000017,1,1,1,0,UART
20:23:11.389,0x0000001D,1,0,1,1,UART
20:23:11.610,0x0000001D,1,0,1,1,UART
20:23:11.819,0x0000001D,1,0,1,1,UART
20:23:12.037,0x0000001D,1,0,1,1,UART
20:23:12.257,0x0000001D,1,0,1,1,UART
20:23:12.473,0x0000001D,1,0,1,1,UART
20:23:12.689,0x0000001D,1,0,1,1,UART
20:23:12.905,0x0000001D,1,0,1,1,UART
20:23:13.119,0x00000017,1,1,1,0,UART
20:23:13.334,0x0000001D,1,0,1,1,UART
20:23:13.549,0x0000001D,1,0,1,1,UART
20:23:13.764,0x0000001D,1,0,1,1,UART
20:23:13.985,0x0000001D,1,0,1,1,UART
20:23:14.195,0x0000001D,1,0,1,1,UART
20:23:14.418,0x0000001D,1,0,1,1,UART
20:23:14.633,0x0000001D,1,0,1,1,UART
20:23:14.848,0x00000017,1,1,1,0,UART
20:23:15.066,0x0000001D,1,0,1,1,UART
20:23:15.278,0x0000001D,1,0,1,1,UART
20:23:15.494,0x0000001D,1,0,1,1,UART
20:23:15.714,0x0000001D,1,0,1,1,UART
20:23:15.930,0x0000001D,1,0,1,1,UART
20:23:16.147,0x0000001D,1,0,1,1,UART
20:23:16.363,0x0000001D,1,0,1,1,UART
20:23:16.579,0x00000017,1,1,1,0,UART
20:23:16.794,0x0000001D,1,0,1,1,UART
20:23:17.007,0x0000001D,1,0,1,1,UART
20:23:17.226,0x0000001D,1,0,1,1,UART
20:23:17.440,0x0000001D,1,0,1,1,UART
20:23:17.658,0x0000001D,1,0,1,1,UART
20:23:17.870,0x0000001D,1,0,1,1,UART
20:23:18.091,0x0000001D,1,0,1,1,UART
20:23:18.306,0x0000001D,1,0,1,1,UART
20:23:18.521,0x00000017,1,1,1,0,UART
20:23:18.737,0x0000001D,1,0,1,1,UART
20:23:18.952,0x0000001D,1,0,1,1,UART
20:23:19.171,0x0000001D,1,0,1,1,UART
20:23:19.385,0x0000001D,1,0,1,1,UART
20:23:19.597,0x0000001D,1,0,1,1,UART
20:23:19.813,0x0000001D,1,0,1,1,UART
20:23:20.030,0x0000001D,1,0,1,1,UART
20:23:20.248,0x00000017,1,1,1,0,UART
20:23:20.465,0x0000001D,1,0,1,1,UART
20:23:20.681,0x0000001D,1,0,1,1,UART
20:23:20.896,0x0000001D,1,0,1,1,UART
20:23:21.112,0x0000001D,1,0,1,1,UART
20:23:21.326,0x0000001D,1,0,1,1,UART
20:23:21.545,0x0000001D,1,0,1,1,UART
20:23:21.758,0x0000001D,1,0,1,1,UART
20:23:21.973,0x00000017,1,1,1,0,UART
20:23:22.194,0x0000001D,1,0,1,1,UART
20:23:22.408,0x0000001D,1,0,1,1,UART
20:23:22.625,0x0000001D,1,0,1,1,UART
20:23:22.841,0x0000001D,1,0,1,1,UART
20:23:23.056,0x0000001D,1,0,1,1,UART
20:23:23.271,0x0000001D,1,0,1,1,UART
20:23:23.489,0x0000001D,1,0,1,1,UART
20:23:23.705,0x0000001D,1,0,1,1,UART
20:23:23.921,0x00000017,1,1,1,0,UART
20:23:24.137,0x0000001D,1,0,1,1,UART
20:23:24.347,0x0000001D,1,0,1,1,UART
20:23:24.562,0x0000001D,1,0,1,1,UART
20:23:24.778,0x0000001D,1,0,1,1,UART
20:23:25.001,0x0000001D,1,0,1,1,UART
20:23:25.217,0x0000001D,1,0,1,1,UART
20:23:25.431,0x0000001D,1,0,1,1,UART
20:23:25.646,0x00000017,1,1,1,0,UART
20:23:25.861,0x0000001D,1,0,1,1,UART
20:23:26.078,0x0000001D,1,0,1,1,UART
20:23:26.293,0x0000001D,1,0,1,1,UART
20:23:26.507,0x0000001D,1,0,1,1,UART
20:23:26.729,0x0000001D,1,0,1,1,UART
20:23:26.945,0x0000001D,1,0,1,1,UART
20:23:27.160,0x0000001D,1,0,1,1,UART
20:23:27.376,0x00000017,1,1,1,0,UART
20:23:27.590,0x0000001D,1,0,1,1,UART
20:23:27.808,0x0000001D,1,0,1,1,UART
20:23:28.025,0x0000001D,1,0,1,1,UART
20:23:28.241,0x0000001D,1,0,1,1,UART
20:23:28.457,0x0000001D,1,0,1,1,UART
