Time,RAW_HEX,EN,FAULT,ENOUT,WDO,SRC
19:16:13.785,0x0000001D,1,0,1,1,UART
19:16:13.999,0x0000001D,1,0,1,1,UART
19:16:14.213,0x00000017,1,1,1,0,UART
19:16:14.431,0x0000001D,1,0,1,1,UART
19:16:14.647,0x0000001D,1,0,1,1,UART
19:16:14.860,0x0000001D,1,0,1,1,UART
19:16:15.074,0x0000001D,1,0,1,1,UART
19:16:15.294,0x0000001D,1,0,1,1,UART
19:16:15.510,0x0000001D,1,0,1,1,UART
19:16:15.721,0x0000001D,1,0,1,1,UART
19:16:15.936,0x0000001D,1,0,1,1,UART
19:16:16.159,0x00000017,1,1,1,0,UART
19:16:16.374,0x0000001D,1,0,1,1,UART
19:16:16.591,0x0000001D,1,0,1,1,UART
19:16:16.807,0x0000001D,1,0,1,1,UART
19:16:17.023,0x0000001D,1,0,1,1,UART
19:16:17.237,0x0000001D,1,0,1,1,UART
19:16:17.456,0x0000001D,1,0,1,1,UART
19:16:17.672,0x0000001D,1,0,1,1,UART
19:16:17.887,0x00000017,1,1,1,0,UART
19:16:18.105,0x0000001D,1,0,1,1,UART
19:16:18.318,0x0000001D,1,0,1,1,UART
19:16:18.533,0x0000001D,1,0,1,1,UART
19:16:18.748,0x0000001D,1,0,1,1,UART
19:16:18.970,0x0000001D,1,0,1,1,UART
19:16:19.186,0x0000001D,1,0,1,1,UART
19:16:19.403,0x0000001D,1,0,1,1,UART
19:16:19.619,0x00000017,1,1,1,0,UART
19:16:19.832,0x0000001D,1,0,1,1,UART
19:16:20.047,0x0000001D,1,0,1,1,UART
19:16:20.262,0x0000001D,1,0,1,1,UART
19:16:20.477,0x0000001D,1,0,1,1,UART
19:16:20.700,0x0000001D,1,0,1,1,UART
19:16:20.915,0x0000001D,1,0,1,1,UART
19:16:21.133,0x0000001D,1,0,1,1,UART
19:16:21.349,0x0000001D,1,0,1,1,UART
19:16:21.561,0x00000017,1,1,1,0,UART
