Time,RAW_HEX,EN,FAULT,ENOUT,WDO,SRC
21:14:12.838,0x0000000D,1,0,1,1,Nút S1
21:14:13.044,0x0000000D,1,0,1,1,Nút S1
21:14:13.260,0x0000000D,1,0,1,1,Nút S1
21:14:13.481,0x0000000D,1,0,1,1,Nút S1
21:14:13.701,0x0000000D,1,0,1,1,Nút S1
21:14:13.916,0x0000000D,1,0,1,1,Nút S1
21:14:14.132,0x0000000D,1,0,1,1,Nút S1
21:14:14.344,0x00000007,1,1,1,0,Nút S1
21:14:14.565,0x0000000D,1,0,1,1,Nút S1
21:14:14.769,0x0000000D,1,0,1,1,Nút S1
21:14:14.994,0x0000000D,1,0,1,1,Nút S1
21:14:15.202,0x0000000D,1,0,1,1,Nút S1
21:14:15.429,0x0000000D,1,0,1,1,Nút S1
21:14:15.640,0x0000000D,1,0,1,1,Nút S1
21:14:15.854,0x0000000D,1,0,1,1,Nút S1
21:14:16.078,0x00000007,1,1,1,0,Nút S1
21:14:16.295,0x0000000D,1,0,1,1,Nút S1
21:14:16.511,0x0000000D,1,0,1,1,Nút S1
21:14:16.729,0x0000000D,1,0,1,1,Nút S1
21:14:16.944,0x0000000D,1,0,1,1,Nút S1
21:14:17.160,0x0000000D,1,0,1,1,Nút S1
21:14:17.379,0x0000000D,1,0,1,1,Nút S1
21:14:17.593,0x0000000D,1,0,1,1,Nút S1
21:14:17.809,0x00000007,1,1,1,0,Nút S1
21:14:18.031,0x0000000D,1,0,1,1,Nút S1
21:14:18.249,0x0000000D,1,0,1,1,Nút S1
21:14:18.452,0x0000000D,1,0,1,1,Nút S1
21:14:18.681,0x0000000D,1,0,1,1,Nút S1
21:14:18.890,0x0000000D,1,0,1,1,Nút S1
21:14:19.108,0x0000000D,1,0,1,1,Nút S1
21:14:19.328,0x0000000D,1,0,1,1,Nút S1
21:14:19.541,0x0000000D,1,0,1,1,Nút S1
21:14:19.758,0x00000007,1,1,1,0,Nút S1
21:14:19.973,0x0000000D,1,0,1,1,Nút S1
21:14:20.194,0x0000000D,1,0,1,1,Nút S1
21:14:20.404,0x0000000D,1,0,1,1,Nút S1
21:14:20.623,0x0000000D,1,0,1,1,Nút S1
21:14:20.850,0x0000000D,1,0,1,1,Nút S1
21:14:21.065,0x0000000D,1,0,1,1,Nút S1
21:14:21.280,0x0000000D,1,0,1,1,Nút S1
21:14:21.499,0x00000007,1,1,1,0,Nút S1
21:14:21.726,0x0000000D,1,0,1,1,Nút S1
21:14:21.941,0x0000000D,1,0,1,1,Nút S1
21:14:22.153,0x0000000D,1,0,1,1,Nút S1
21:14:22.372,0x0000000D,1,0,1,1,Nút S1
21:14:22.589,0x0000000D,1,0,1,1,Nút S1
21:14:22.801,0x0000000D,1,0,1,1,Nút S1
21:14:23.020,0x0000000D,1,0,1,1,Nút S1
21:14:23.238,0x0000000D,1,0,1,1,Nút S1
21:14:23.460,0x0000000D,1,0,1,1,Nút S1
21:14:23.681,0x0000000D,1,0,1,1,Nút S1
21:14:23.891,0x0000000D,1,0,1,1,Nút S1
21:14:24.105,0x0000000D,1,0,1,1,Nút S1
21:14:24.323,0x0000000D,1,0,1,1,Nút S1
21:14:24.541,0x0000000D,1,0,1,1,Nút S1
21:14:24.758,0x0000000D,1,0,1,1,Nút S1
21:14:24.971,0x0000000D,1,0,1,1,Nút S1
21:14:25.184,0x0000000D,1,0,1,1,Nút S1
21:14:25.403,0x0000000D,1,0,1,1,Nút S1
21:14:25.613,0x0000000D,1,0,1,1,Nút S1
21:14:25.836,0x0000000D,1,0,1,1,Nút S1
21:14:26.050,0x0000000D,1,0,1,1,Nút S1
21:14:26.260,0x0000000D,1,0,1,1,Nút S1
