Time,RAW_HEX,EN,FAULT,ENOUT,WDO,SRC
19:23:38.403,0x0000000D,1,0,1,1,Nút S1
19:23:38.622,0x0000000D,1,0,1,1,Nút S1
19:23:38.840,0x0000000D,1,0,1,1,Nút S1
19:23:39.057,0x0000000D,1,0,1,1,Nút S1
19:23:39.273,0x0000000D,1,0,1,1,Nút S1
19:23:39.486,0x0000000D,1,0,1,1,Nút S1
19:23:39.701,0x00000007,1,1,1,0,Nút S1
19:23:39.921,0x0000000D,1,0,1,1,Nút S1
19:23:40.137,0x0000000D,1,0,1,1,Nút S1
19:23:40.347,0x0000000D,1,0,1,1,Nút S1
19:23:40.562,0x0000000D,1,0,1,1,Nút S1
19:23:40.785,0x0000000D,1,0,1,1,Nút S1
19:23:41.000,0x0000000D,1,0,1,1,Nút S1
19:23:41.215,0x0000000D,1,0,1,1,Nút S1
19:23:41.430,0x0000000D,1,0,1,1,Nút S1
19:23:41.645,0x00000007,1,1,1,0,Nút S1
19:23:41.861,0x0000000D,1,0,1,1,Nút S1
19:23:42.080,0x0000000D,1,0,1,1,Nút S1
19:23:42.296,0x0000000D,1,0,1,1,Nút S1
19:23:42.509,0x0000000D,1,0,1,1,Nút S1
19:23:42.727,0x0000000D,1,0,1,1,Nút S1
19:23:42.944,0x0000000D,1,0,1,1,Nút S1
19:23:43.160,0x0000000D,1,0,1,1,Nút S1
19:23:43.375,0x00000007,1,1,1,0,Nút S1
19:23:43.594,0x0000000D,1,0,1,1,Nút S1
19:23:43.810,0x0000000D,1,0,1,1,Nút S1
19:23:44.021,0x0000000D,1,0,1,1,Nút S1
19:23:44.242,0x0000000D,1,0,1,1,Nút S1
19:23:44.458,0x0000000D,1,0,1,1,Nút S1
19:23:44.673,0x0000000D,1,0,1,1,Nút S1
19:23:44.890,0x0000000D,1,0,1,1,Nút S1
19:23:45.104,0x00000007,1,1,1,0,Nút S1
19:23:45.321,0x0000000D,1,0,1,1,Nút S1
19:23:45.538,0x0000000D,1,0,1,1,Nút S1
19:23:45.753,0x0000000D,1,0,1,1,Nút S1
19:23:45.970,0x0000000D,1,0,1,1,Nút S1
19:23:46.185,0x0000000D,1,0,1,1,Nút S1
19:23:46.400,0x0000000D,1,0,1,1,Nút S1
19:23:46.618,0x0000000D,1,0,1,1,Nút S1
19:23:46.833,0x0000000D,1,0,1,1,Nút S1
19:23:47.049,0x00000007,1,1,1,0,Nút S1
19:23:47.265,0x0000000D,1,0,1,1,Nút S1
19:23:47.482,0x0000000D,1,0,1,1,Nút S1
19:23:47.694,0x0000000D,1,0,1,1,Nút S1
19:23:47.910,0x0000000D,1,0,1,1,Nút S1
19:23:48.125,0x0000000D,1,0,1,1,Nút S1
19:23:48.340,0x0000000D,1,0,1,1,Nút S1
19:23:48.562,0x0000000D,1,0,1,1,Nút S1
19:23:48.778,0x00000007,1,1,1,0,Nút S1
19:23:48.993,0x0000000D,1,0,1,1,Nút S1
19:23:49.211,0x0000000D,1,0,1,1,Nút S1
19:23:49.423,0x0000000D,1,0,1,1,Nút S1
19:23:49.643,0x0000000D,1,0,1,1,Nút S1
19:23:49.859,0x0000000D,1,0,1,1,Nút S1
19:23:50.069,0x0000000D,1,0,1,1,Nút S1
19:23:50.291,0x0000000D,1,0,1,1,Nút S1
19:23:50.507,0x00000007,1,1,1,0,Nút S1
19:23:50.724,0x0000000D,1,0,1,1,Nút S1
19:23:50.940,0x0000000D,1,0,1,1,Nút S1
19:23:51.156,0x0000000D,1,0,1,1,Nút S1
19:23:51.368,0x0000000D,1,0,1,1,Nút S1
19:23:51.588,0x0000000D,1,0,1,1,Nút S1
19:23:51.798,0x0000000D,1,0,1,1,Nút S1
19:23:52.021,0x0000000D,1,0,1,1,Nút S1
19:23:52.236,0x0000000D,1,0,1,1,Nút S1
19:23:52.453,0x00000007,1,1,1,0,Nút S1
19:23:52.667,0x0000000D,1,0,1,1,Nút S1
19:23:52.882,0x0000000D,1,0,1,1,Nút S1
19:23:53.099,0x0000000D,1,0,1,1,Nút S1
19:23:53.318,0x0000000D,1,0,1,1,Nút S1
19:23:53.527,0x0000000D,1,0,1,1,Nút S1
19:23:53.745,0x0000000D,1,0,1,1,Nút S1
19:23:53.965,0x0000000D,1,0,1,1,Nút S1
19:23:54.180,0x0000000D,1,0,1,1,Nút S1
19:23:54.398,0x0000000D,1,0,1,1,Nút S1
19:23:54.615,0x0000000D,1,0,1,1,Nút S1
19:23:54.830,0x0000000D,1,0,1,1,Nút S1
19:23:55.041,0x0000000D,1,0,1,1,Nút S1
19:23:55.263,0x0000000D,1,0,1,1,Nút S1
19:23:55.479,0x0000000D,1,0,1,1,Nút S1
19:23:55.695,0x0000000D,1,0,1,1,Nút S1
19:23:55.911,0x0000000D,1,0,1,1,Nút S1
19:23:56.126,0x0000000D,1,0,1,1,Nút S1
19:23:56.340,0x0000000D,1,0,1,1,Nút S1
19:23:56.555,0x0000000D,1,0,1,1,Nút S1
19:23:56.774,0x0000000D,1,0,1,1,Nút S1
19:23:56.986,0x0000000D,1,0,1,1,Nút S1
19:23:57.201,0x0000000D,1,0,1,1,Nút S1
19:23:57.416,0x0000000D,1,0,1,1,Nút S1
19:23:57.638,0x0000000D,1,0,1,1,Nút S1
19:23:57.854,0x0000000D,1,0,1,1,Nút S1
19:23:58.069,0x0000000D,1,0,1,1,Nút S1
19:23:58.287,0x0000000D,1,0,1,1,Nút S1
19:23:58.500,0x0000000D,1,0,1,1,Nút S1
19:23:58.715,0x0000000D,1,0,1,1,Nút S1
19:23:58.930,0x00000007,1,1,1,0,Nút S1
19:23:59.150,0x0000000D,1,0,1,1,Nút S1
19:23:59.360,0x0000000D,1,0,1,1,Nút S1
19:23:59.576,0x0000000D,1,0,1,1,Nút S1
19:23:59.797,0x0000000D,1,0,1,1,Nút S1
19:24:00.013,0x0000000D,1,0,1,1,Nút S1
19:24:00.230,0x0000000D,1,0,1,1,Nút S1
19:24:00.447,0x0000000D,1,0,1,1,Nút S1
19:24:00.663,0x00000007,1,1,1,0,Nút S1
19:24:00.875,0x0000000D,1,0,1,1,Nút S1
19:24:01.095,0x0000000D,1,0,1,1,Nút S1
19:24:01.307,0x0000000D,1,0,1,1,Nút S1
19:24:01.527,0x0000000D,1,0,1,1,Nút S1
19:24:01.743,0x0000000D,1,0,1,1,Nút S1
19:24:01.960,0x0000000D,1,0,1,1,Nút S1
19:24:02.173,0x0000000D,1,0,1,1,Nút S1
19:24:02.388,0x0000000D,1,0,1,1,Nút S1
19:24:02.609,0x00000007,1,1,1,0,Nút S1
19:24:02.822,0x0000000D,1,0,1,1,Nút S1
19:24:03.034,0x00000008,0,0,0,1,Nút S1
19:24:03.256,0x00000008,0,0,0,1,Nút S1
